id,dive_start,dive_end,max_depth
huey,2017-03-09T12:31:24Z,2017-03-09T12:36:44Z,2.1
huey,2017-03-09T12:36:48Z,2017-03-09T12:37:00Z,1.5
huey,2017-03-09T12:38:00Z,2017-03-09T12:44:20Z,2.2
huey,2017-03-09T12:45:24Z,2017-03-09T12:49:12Z,2.1
huey,2017-03-09T12:49:20Z,2017-03-09T12:50:40Z,2.1
huey,2017-03-09T12:51:40Z,2017-03-09T12:58:20Z,2.1
huey,2017-03-09T12:59:20Z,2017-03-09T13:03:52Z,2
huey,2017-03-09T13:03:56Z,2017-03-09T13:05:04Z,1.9
huey,2017-03-09T13:06:28Z,2017-03-09T13:10:48Z,2.8
huey,2017-03-09T13:11:44Z,2017-03-09T13:16:24Z,3.9
huey,2017-03-09T13:17:28Z,2017-03-09T13:21:24Z,5
huey,2017-03-09T13:22:32Z,2017-03-09T13:28:04Z,5.2
huey,2017-03-09T13:29:04Z,2017-03-09T13:35:36Z,5.1
huey,2017-03-09T13:36:40Z,2017-03-09T13:42:40Z,5.2
huey,2017-03-09T13:43:40Z,2017-03-09T13:50:36Z,5.1
huey,2017-03-09T13:51:32Z,2017-03-09T13:58:52Z,5
huey,2017-03-09T13:59:48Z,2017-03-09T14:06:32Z,5
huey,2017-03-09T14:07:28Z,2017-03-09T14:15:00Z,5
huey,2017-03-09T14:16:04Z,2017-03-09T14:23:32Z,4.9
huey,2017-03-09T14:24:24Z,2017-03-09T14:31:28Z,4.9
huey,2017-03-09T14:32:24Z,2017-03-09T14:40:04Z,4.8
huey,2017-03-09T14:40:52Z,2017-03-09T14:47:36Z,4.8
huey,2017-03-09T14:48:32Z,2017-03-09T14:56:40Z,4.8
huey,2017-03-09T14:57:36Z,2017-03-09T15:05:24Z,4.7
huey,2017-03-09T15:06:24Z,2017-03-09T15:14:44Z,4.7
huey,2017-03-09T15:15:44Z,2017-03-09T15:23:00Z,4.7
huey,2017-03-09T15:24:00Z,2017-03-09T15:31:04Z,4.7
huey,2017-03-09T15:31:56Z,2017-03-09T15:38:36Z,4.7
huey,2017-03-09T15:39:24Z,2017-03-09T15:46:16Z,4.7
huey,2017-03-09T15:47:04Z,2017-03-09T15:55:32Z,4.6
huey,2017-03-09T15:56:36Z,2017-03-09T16:01:40Z,4.6
huey,2017-03-09T16:02:32Z,2017-03-09T16:10:16Z,4.7
huey,2017-03-09T16:11:16Z,2017-03-09T16:19:36Z,4.7
huey,2017-03-09T16:20:44Z,2017-03-09T16:29:12Z,4.7
huey,2017-03-09T16:30:20Z,2017-03-09T16:36:28Z,4.8
huey,2017-03-09T16:37:16Z,2017-03-09T16:40:48Z,4.4
huey,2017-03-09T16:41:44Z,2017-03-09T16:44:32Z,4.7
huey,2017-03-09T16:45:04Z,2017-03-09T16:49:40Z,4.9
huey,2017-03-09T16:50:44Z,2017-03-09T16:55:12Z,5
huey,2017-03-09T16:56:12Z,2017-03-09T17:00:40Z,5
huey,2017-03-09T17:01:40Z,2017-03-09T17:05:52Z,5
huey,2017-03-09T17:06:44Z,2017-03-09T17:13:20Z,5
huey,2017-03-09T17:14:16Z,2017-03-09T17:19:52Z,5.1
huey,2017-03-09T17:20:48Z,2017-03-09T17:25:52Z,5.2
huey,2017-03-09T17:26:48Z,2017-03-09T17:34:52Z,5.3
huey,2017-03-09T17:35:48Z,2017-03-09T17:42:24Z,5.4
huey,2017-03-09T17:43:12Z,2017-03-09T17:46:24Z,5.2
huey,2017-03-09T17:47:16Z,2017-03-09T17:51:48Z,6.2
huey,2017-03-09T17:52:48Z,2017-03-09T17:58:00Z,7.3
huey,2017-03-09T17:59:00Z,2017-03-09T18:03:44Z,8.4
huey,2017-03-09T18:04:36Z,2017-03-09T18:09:32Z,9.6
huey,2017-03-09T18:10:24Z,2017-03-09T18:15:24Z,11
huey,2017-03-09T18:16:20Z,2017-03-09T18:21:08Z,12.3
huey,2017-03-09T18:21:56Z,2017-03-09T18:27:32Z,13.2
huey,2017-03-09T18:28:24Z,2017-03-09T18:33:52Z,13.6
huey,2017-03-09T18:34:44Z,2017-03-09T18:40:16Z,14.2
huey,2017-03-09T18:43:08Z,2017-03-09T18:47:44Z,14.8
huey,2017-03-09T18:48:36Z,2017-03-09T18:54:56Z,15.3
huey,2017-03-09T18:55:48Z,2017-03-09T19:01:40Z,16
huey,2017-03-09T19:02:32Z,2017-03-09T19:08:40Z,17.3
huey,2017-03-09T19:09:32Z,2017-03-09T19:12:36Z,17.8
huey,2017-03-09T19:13:48Z,2017-03-09T19:17:36Z,18.4
huey,2017-03-09T19:19:20Z,2017-03-09T19:25:44Z,18.9
huey,2017-03-09T19:26:36Z,2017-03-09T19:31:20Z,19.2
huey,2017-03-09T19:31:48Z,2017-03-09T19:32:12Z,11.2
huey,2017-03-09T19:33:00Z,2017-03-09T19:33:20Z,2.2
huey,2017-03-09T19:35:24Z,2017-03-09T19:37:32Z,19.4
huey,2017-03-09T19:38:36Z,2017-03-09T19:40:56Z,19.6
huey,2017-03-09T19:42:20Z,2017-03-09T19:47:20Z,20
huey,2017-03-09T19:48:12Z,2017-03-09T19:49:20Z,19.7
huey,2017-03-09T19:50:52Z,2017-03-09T19:55:52Z,19.8
huey,2017-03-09T19:56:44Z,2017-03-09T20:00:48Z,19.4
huey,2017-03-09T20:01:44Z,2017-03-09T20:07:00Z,19.1
huey,2017-03-09T20:07:56Z,2017-03-09T20:11:16Z,19.7
huey,2017-03-09T20:12:48Z,2017-03-09T20:16:28Z,20.2
huey,2017-03-09T20:17:28Z,2017-03-09T20:22:56Z,20.5
huey,2017-03-09T20:23:52Z,2017-03-09T20:28:16Z,20.6
huey,2017-03-09T20:29:36Z,2017-03-09T20:34:52Z,20.1
huey,2017-03-09T20:35:48Z,2017-03-09T20:39:12Z,19.2
huey,2017-03-09T20:40:24Z,2017-03-09T20:41:40Z,18.9
huey,2017-03-09T20:43:12Z,2017-03-09T20:48:16Z,18.8
huey,2017-03-09T20:49:12Z,2017-03-09T20:54:44Z,18.5
huey,2017-03-09T20:55:40Z,2017-03-09T20:56:56Z,18.4
huey,2017-03-09T20:57:28Z,2017-03-09T21:00:40Z,18.6
huey,2017-03-09T21:02:28Z,2017-03-09T21:05:00Z,18.8
huey,2017-03-09T21:06:00Z,2017-03-09T21:10:40Z,19.2
huey,2017-03-09T21:11:32Z,2017-03-09T21:16:44Z,19.4
huey,2017-03-09T21:17:36Z,2017-03-09T21:22:12Z,19.4
huey,2017-03-09T21:23:00Z,2017-03-09T21:25:08Z,18.9
huey,2017-03-09T21:26:32Z,2017-03-09T21:31:12Z,18.9
huey,2017-03-09T21:33:08Z,2017-03-09T21:37:56Z,18.9
huey,2017-03-09T21:39:04Z,2017-03-09T21:39:52Z,18.5
huey,2017-03-09T21:41:32Z,2017-03-09T21:46:16Z,18.8
huey,2017-03-09T21:47:12Z,2017-03-09T21:48:40Z,18.7
huey,2017-03-09T21:50:44Z,2017-03-09T21:54:04Z,18.9
huey,2017-03-09T21:55:04Z,2017-03-09T21:56:12Z,19.1
huey,2017-03-09T21:58:12Z,2017-03-09T22:00:00Z,19.2
huey,2017-03-09T22:01:36Z,2017-03-09T22:05:52Z,19.6
huey,2017-03-09T22:06:44Z,2017-03-09T22:11:56Z,19.8
huey,2017-03-09T22:12:48Z,2017-03-09T22:17:40Z,19.3
huey,2017-03-09T22:18:32Z,2017-03-09T22:21:52Z,18.5
huey,2017-03-09T22:22:48Z,2017-03-09T22:27:48Z,18.5
huey,2017-03-09T22:29:08Z,2017-03-09T22:33:20Z,18.9
huey,2017-03-09T22:34:20Z,2017-03-09T22:34:44Z,9
huey,2017-03-09T22:37:04Z,2017-03-09T22:41:00Z,19.5
huey,2017-03-09T22:43:08Z,2017-03-09T22:45:16Z,19.6
huey,2017-03-09T22:45:44Z,2017-03-09T22:46:04Z,4.7
huey,2017-03-09T22:47:32Z,2017-03-09T22:52:48Z,19.7
huey,2017-03-09T22:54:20Z,2017-03-09T22:56:44Z,19.9
huey,2017-03-09T22:58:36Z,2017-03-09T23:03:16Z,20.3
huey,2017-03-09T23:04:12Z,2017-03-09T23:09:08Z,20.3
huey,2017-03-09T23:10:00Z,2017-03-09T23:13:04Z,19.8
huey,2017-03-09T23:15:36Z,2017-03-09T23:20:24Z,19.6
huey,2017-03-09T23:21:20Z,2017-03-09T23:26:20Z,19.2
huey,2017-03-09T23:27:16Z,2017-03-09T23:32:12Z,18.4
huey,2017-03-09T23:33:04Z,2017-03-09T23:38:12Z,19
huey,2017-03-09T23:39:12Z,2017-03-09T23:42:36Z,19.4
huey,2017-03-09T23:43:48Z,2017-03-09T23:48:48Z,20
huey,2017-03-09T23:49:40Z,2017-03-09T23:54:20Z,20.4
huey,2017-03-09T23:55:12Z,2017-03-09T23:59:04Z,20.4
huey,2017-03-10T00:02:56Z,2017-03-10T00:08:08Z,20.2
huey,2017-03-10T00:09:00Z,2017-03-10T00:11:32Z,20.1
huey,2017-03-10T00:12:56Z,2017-03-10T00:17:48Z,20
huey,2017-03-10T00:18:40Z,2017-03-10T00:23:52Z,20.7
huey,2017-03-10T00:24:52Z,2017-03-10T00:26:32Z,20.9
huey,2017-03-10T00:27:44Z,2017-03-10T00:32:20Z,21.2
huey,2017-03-10T00:33:12Z,2017-03-10T00:35:52Z,21.3
